Line list produced by PGOPHER 11.0.138 10 Dec 2020 18:41  64 bit (fpc 3.3.1 x86_64-Darwin),11000138
Molecule,Upper Manifold,J',Sym',#',Lower Manifold,"J""","Sym""","#""",Position,Intensity,Eupper,Elower,Spol,A,Width,Branch,Label
I(DOH)-,Excited,10,A,3,Ground,10,A,5,3635.44992037589,5.97324122152968E-11,3713.08794888499,77.6380285090991,0.000410686311708501,0.884074507790865,0,"pQ2,8(10)",Excited Free OH 10  1  9 - Ground v=0 10  2  8
I(DOH)-,Excited,19,A,2,Ground,19,A,4,3635.46520078713,4.22323225970014E-12,3735.84860783311,100.383407045985,0.000765943298428662,0.887841466040346,0,"pQ2,18(19)",Excited Free OH 19  1 19 - Ground v=0 19  2 18
I(DOH)-,Excited,11,A,3,Ground,11,A,5,3635.51362000838,5.02926226375017E-11,3715.0050872219,79.4914672135152,0.000451457742212787,0.887380809952784,0,"pQ2,9(11)",Excited Free OH 11  1 10 - Ground v=0 11  2  9
I(DOH)-,Excited,12,A,3,Ground,12,A,5,3635.58308758888,4.09906256687928E-11,3717.09650227462,81.51341468574,0.000492197422157406,0.890112673938488,0,"pQ2,10(12)",Excited Free OH 12  1 11 - Ground v=0 12  2 10
I(DOH)-,Excited,3,A,2,Ground,2,A,5,3635.64715732018,6.79156543812621E-12,3704.52364580387,68.8764884836853,0.0000132374011771115,0.0855014165668286,0,"pR2,0(2)",Excited Free OH  3  1  3 - Ground v=0  2  2  0
I(DOH)-,Excited,13,A,3,Ground,13,A,5,3635.65831713082,3.23853381165538E-11,3719.36219179733,83.7038746665086,0.000532935611255915,0.892449386711172,0,"pQ2,11(13)",Excited Free OH 13  1 12 - Ground v=0 13  2 11
I(DOH)-,Excited,3,A,3,Ground,2,A,4,3635.67138953599,6.79504750756318E-12,3704.54787764557,68.8764881095853,0.0000132441873457825,0.0855469594975924,0,"pR2,1(2)",Excited Free OH  3  1  2 - Ground v=0  2  2  1
I(DOH)-,Excited,14,A,3,Ground,14,A,5,3635.73930214658,2.48287097034142E-11,3721.80215335476,86.0628512081759,0.000573695944510662,0.894510457220738,0,"pQ2,12(14)",Excited Free OH 14  1 13 - Ground v=0 14  2 12
I(DOH)-,Excited,4,A,2,Ground,3,A,5,3635.82269119653,1.42069178705483E-11,3705.20464550538,69.3819543088411,0.0000297794647646069,0.14962559861445,0,"pR2,1(3)",Excited Free OH  4  1  4 - Ground v=0  3  2  1
I(DOH)-,Excited,15,A,3,Ground,15,A,5,3635.82603564689,1.84867746089067E-11,3724.41638432156,88.5903486746706,0.000614497580304994,0.896378031621587,0,"pQ2,13(15)",Excited Free OH 15  1 14 - Ground v=0 15  2 13
I(DOH)-,Excited,4,A,3,Ground,3,A,4,3635.86307946942,1.42190634078445E-11,3705.24503190776,69.3819524383412,0.0000298049152984095,0.149758464323902,0,"pR2,2(3)",Excited Free OH  4  1  3 - Ground v=0  3  2  2
I(DOH)-,Excited,16,A,3,Ground,16,A,5,3635.91851014034,1.33769421424469E-11,3727.20488188177,91.2863717414367,0.000655356560716876,0.898110078616498,0,"pQ2,14(16)",Excited Free OH 16  1 15 - Ground v=0 16  2 14
I(DOH)-,Excited,5,A,2,Ground,4,A,5,3635.99998353967,2.06260168006308E-11,3706.05589373688,70.0559101972151,0.0000476370337859337,0.195860599449028,0,"pR2,2(4)",Excited Free OH  5  1  5 - Ground v=0  4  2  2
I(DOH)-,Excited,17,A,3,Ground,17,A,5,3636.01671763276,9.41184668346122E-12,3730.16764302813,94.1509253953622,0.000696286701735521,0.899748447087248,0,"pQ2,15(17)",Excited Free OH 17  1 16 - Ground v=0 17  2 15
I(DOH)-,Excited,5,A,3,Ground,4,A,4,3636.06056875324,2.06524835293634E-11,3706.11647333896,70.0559045857157,0.0000476981217872937,0.196121567324702,0,"pR2,3(4)",Excited Free OH  5  1  4 - Ground v=0  4  2  3
I(DOH)-,Excited,18,A,3,Ground,18,A,5,3636.12064962669,6.44180573480893E-12,3733.30466456138,97.1840149346925,0.000737300192523278,0.901323955043926,0,"pQ2,16(18)",Excited Free OH 18  1 17 - Ground v=0 18  2 16
I(DOH)-,Excited,6,A,2,Ground,5,A,5,3636.1790321728,2.53703427349437E-11,3707.0773895686,70.8983573958062,0.0000661448799513921,0.230150588667504,0,"pR2,3(5)",Excited Free OH  6  1  6 - Ground v=0  5  2  3
I(DOH)-,Excited,19,A,3,Ground,19,A,5,3636.23029712066,4.29057740750259E-12,3736.61594308958,100.385645968926,0.000778408008818053,0.902859697360498,0,"pQ2,17(19)",Excited Free OH 19  1 18 - Ground v=0 19  2 17
I(DOH)-,Excited,6,A,3,Ground,5,A,4,3636.26385670536,2.54159561126473E-11,3707.16220100767,70.8983443023088,0.0000662636770996847,0.230580078524487,0,"pR2,4(5)",Excited Free OH  6  1  5 - Ground v=0  5  2  4
I(DOH)-,Excited,7,A,2,Ground,6,A,5,3636.35983442192,2.81943500356146E-11,3708.26913188528,71.9092974633608,0.0000850160385829285,0.256409196199202,0,"pR2,4(6)",Excited Free OH  7  1  7 - Ground v=0  6  2  4
I(DOH)-,Excited,7,A,3,Ground,6,A,4,3636.47294251925,2.82620044046663E-11,3708.38221379562,71.9092712763706,0.0000852197195920944,0.257047484804911,0,"pR2,5(6)",Excited Free OH  7  1  6 - Ground v=0  6  2  5
I(DOH)-,Excited,8,A,2,Ground,7,A,5,3636.54238711604,2.91364828416883E-11,3709.63111938641,73.0887322703703,0.000104105392049768,0.277085436490923,0,"pR2,5(7)",Excited Free OH  8  1  8 - Ground v=0  7  2  5
I(DOH)-,Excited,8,A,3,Ground,7,A,4,3636.68782526372,2.9226478303052E-11,3709.77651039752,73.0886851338011,0.000104426239904588,0.277972749257989,0,"pR2,6(7)",Excited Free OH  8  1  7 - Ground v=0  7  2  6
I(DOH)-,Excited,9,A,2,Ground,8,A,5,3636.72668658751,2.84321548706837E-11,3711.16335058657,74.4366639990664,0.000123330863992352,0.293747107388744,0,"pR2,6(8)",Excited Free OH  9  1  9 - Ground v=0  8  2  6
I(DOH)-,Excited,9,A,3,Ground,8,A,4,3636.9085038826,2.85420768668883E-11,3711.34508932075,74.4365854381505,0.000123806275953612,0.294923664055725,0,"pR2,7(8)",Excited Free OH  9  1  8 - Ground v=0  8  2  7
I(DOH)-,Excited,10,A,2,Ground,9,A,5,3636.91272867236,2.64381141793083E-11,3712.86582381577,75.9530951434139,0.000142641896791527,0.30743257695548,0,"pR2,7(9)",Excited Free OH 10  1 10 - Ground v=0  9  2  7
I(DOH)-,Excited,11,A,2,Ground,10,A,5,3637.10050871069,2.35628909691275E-11,3714.73853721979,77.6380285090991,0.000162005122954375,0.318852814863693,0,"pR2,8(10)",Excited Free OH 11  1 11 - Ground v=0 10  2  8
I(DOH)-,Excited,10,A,3,Ground,9,A,4,3637.13497719437,2.65632301781458E-11,3713.08794888499,75.9529716906189,0.000143314391158505,0.308938617524709,0,"pR2,8(9)",Excited Free OH 10  1  9 - Ground v=0  9  2  8
I(DOH)-,Excited,12,A,2,Ground,11,A,5,3637.29002154714,2.0207740628515E-11,3716.78148876066,79.4914672135152,0.000181397200641676,0.328509399855106,0,"pR2,9(11)",Excited Free OH 12  1 12 - Ground v=0 11  2  9
I(DOH)-,Excited,11,A,3,Ground,10,A,4,3637.36724389184,2.3696928226344E-11,3715.0050872219,77.6378433300567,0.000162922346571287,0.320728616071983,0,"pR2,9(10)",Excited Free OH 11  1 10 - Ground v=0 10  2  9
I(DOH)-,Excited,13,A,2,Ground,12,A,5,3637.48126153135,1.67228767153711E-11,3718.99467621709,81.51341468574,0.000200800955732378,0.336765614130333,0,"pR2,10(12)",Excited Free OH 13  1 13 - Ground v=0 12  2 10
I(DOH)-,Excited,12,A,3,Ground,11,A,4,3637.60530254165,2.03438458002432E-11,3717.09650227462,79.4911997329647,0.000182611937132925,0.33079528669532,0,"pR2,10(11)",Excited Free OH 12  1 11 - Ground v=0 11  2 10
I(DOH)-,Excited,14,A,2,Ground,13,A,5,3637.67422251852,1.33812681987692E-11,3721.37809718503,83.7038746665086,0.000220203177166929,0.343890695880413,0,"pR2,11(13)",Excited Free OH 14  1 14 - Ground v=0 13  2 11
I(DOH)-,Excited,13,A,3,Ground,12,A,4,3637.84915158384,1.68545506210859E-11,3719.36219179733,81.513040213494,0.000202371134449628,0.339501968596095,0,"pR2,11(12)",Excited Free OH 13  1 12 - Ground v=0 12  2 11
I(DOH)-,Excited,15,A,2,Ground,14,A,5,3637.86889786998,1.03692424563443E-11,3723.93174907816,86.0628512081759,0.000239593294050012,0.350088247306408,0,"pR2,12(14)",Excited Free OH 15  1 15 - Ground v=0 14  2 12
I(DOH)-,Excited,16,A,2,Ground,15,A,5,3638.06528045388,7.79072599209227E-12,3726.65562912855,88.5903486746706,0.000258962548753822,0.355514991735187,0,"pR2,13(15)",Excited Free OH 16  1 16 - Ground v=0 15  2 13
I(DOH)-,Excited,14,A,3,Ground,13,A,4,3638.09878933131,1.35031095559631E-11,3721.80215335476,83.7033640234461,0.000222191882829264,0.347117964054693,0,"pR2,12(13)",Excited Free OH 14  1 13 - Ground v=0 13  2 12
I(DOH)-,Excited,17,A,2,Ground,16,A,5,3638.26336264583,5.68064703958269E-12,3729.54973438727,91.2863717414367,0.000278303461797469,0.360293476485037,0,"pR2,14(16)",Excited Free OH 17  1 17 - Ground v=0 16  2 14
I(DOH)-,Excited,15,A,3,Ground,14,A,4,3638.35421396929,1.04774040057405E-11,3724.41638432156,86.0621703522737,0.000242068777056605,0.35384694540589,0,"pR2,13(14)",Excited Free OH 15  1 14 - Ground v=0 14  2 13
I(DOH)-,Excited,18,A,2,Ground,17,A,5,3638.46313632971,4.02284682974668E-12,3732.61406172507,94.1509253953622,0.000297609475045276,0.364520873694221,0,"pR2,15(17)",Excited Free OH 18  1 18 - Ground v=0 17  2 15
I(DOH)-,Excited,16,A,3,Ground,15,A,4,3638.61542355469,7.88306250961441E-12,3727.20488188177,88.5894583270803,0.000261998236146768,0.35984571146022,0,"pR2,14(15)",Excited Free OH 16  1 15 - Ground v=0 15  2 14
I(DOH)-,Excited,17,A,3,Ground,16,A,4,3638.88241601551,5.75659801774608E-12,3730.16764302813,91.2852270126212,0.000281977968850615,0.365236889882667,0,"pR2,15(16)",Excited Free OH 17  1 16 - Ground v=0 16  2 15
I(DOH)-,Excited,18,A,3,Ground,17,A,4,3639.15518915008,4.0831356199483E-12,3733.30466456138,94.1494754113036,0.000302006617453104,0.370117737661022,0,"pR2,16(17)",Excited Free OH 18  1 17 - Ground v=0 17  2 16
I(DOH)-,Excited,31,A,1,Ground,32,A,2,3667.2072231422,3.67421734471454E-12,3772.48655666058,105.279333518374,0.00134784472232003,0.992725327910149,0,"pP1,32(32)",Excited Free OH 31  0 31 - Ground v=0 32  1 32
I(DOH)-,Excited,30,A,1,Ground,31,A,2,3667.21495130228,7.67317459904466E-12,3767.14988847079,99.9349371685102,0.00130467988368549,0.992445498676564,0,"pP1,31(31)",Excited Free OH 30  0 30 - Ground v=0 31  1 31
I(DOH)-,Excited,29,A,1,Ground,30,A,2,3667.22762103514,1.56297110142543E-11,3761.98514427824,94.7575232431024,0.00126173353128855,0.992322113508501,0,"pP1,30(30)",Excited Free OH 29  0 29 - Ground v=0 30  1 30
I(DOH)-,Excited,28,A,1,Ground,29,A,2,3667.24525174625,3.10502162214942E-11,3756.99234631376,89.7470945675032,0.00121899874176331,0.992365601383295,0,"pP1,29(29)",Excited Free OH 28  0 28 - Ground v=0 29  1 29
I(DOH)-,Excited,27,A,1,Ground,28,A,2,3667.26786219948,6.01569032274783E-11,3752.17151607993,84.9036538804483,0.00117646855612261,0.992587879428363,0,"pP1,28(28)",Excited Free OH 27  0 27 - Ground v=0 28  1 28
I(DOH)-,Excited,26,A,1,Ground,27,A,2,3667.29547051537,1.13652657366702E-10,3747.52267434899,80.2272038336145,0.00113413598225159,0.993002635756668,0,"pP1,27(27)",Excited Free OH 26  0 26 - Ground v=0 27  1 27
I(DOH)-,Excited,25,A,1,Ground,26,A,2,3667.32809416976,2.09367571789882E-10,3743.04584116095,75.7177469911919,0.00109199399727403,0.993625678731439,0,"pP1,26(26)",Excited Free OH 25  0 25 - Ground v=0 26  1 26
I(DOH)-,Excited,24,A,1,Ground,25,A,2,3667.36574999246,3.76039178185452E-10,3738.74103582193,71.3752858294702,0.00105003554979442,0.994475371642806,0,"pP1,25(25)",Excited Free OH 24  0 24 - Ground v=0 25  1 25
I(DOH)-,Excited,23,A,1,Ground,24,A,2,3667.40845416617,6.58421285169862E-10,3734.60827690261,67.1998227364397,0.00100825356201877,0.995573178241514,0,"pP1,24(24)",Excited Free OH 23  0 23 - Ground v=0 24  1 24
